file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Main2Activity.java,com.sachan.prateek.filemanager.Main2Activity,onCreate/1[com.sachan.prateek.filemanager.Bundle],false,31,3,2,0,2,3,9,12,0,1,1,9,2,1,0,0,0,0,0,0,3,0,1,0,0,0,25,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Main2Activity.java,com.sachan.prateek.filemanager.Main2Activity,setSdPieData/0,false,46,6,1,1,0,1,17,24,0,5,0,17,0,0,0,0,0,0,9,2,5,2,0,0,0,0,21,2,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Main2Activity.java,com.sachan.prateek.filemanager.Main2Activity,setPieData/0,false,71,6,1,1,0,1,18,23,0,5,0,18,0,0,0,0,0,0,8,2,5,2,0,0,0,0,20,0,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Listener_for_Recycler.java,com.sachan.prateek.filemanager.Listener_for_Recycler,"onTouchEvent/2[com.sachan.prateek.filemanager.RecyclerView,com.sachan.prateek.filemanager.MotionEvent]",false,42,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Listener_for_Recycler.java,com.sachan.prateek.filemanager.Listener_for_Recycler,"Listener_for_Recycler/3[com.sachan.prateek.filemanager.Context,com.sachan.prateek.filemanager.RecyclerView,com.sachan.prateek.filemanager.Listener_for_Recycler.ClickListener]",true,13,4,1,1,0,1,0,15,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,23,0,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Listener_for_Recycler.java,com.sachan.prateek.filemanager.Listener_for_Recycler,"onInterceptTouchEvent/2[com.sachan.prateek.filemanager.RecyclerView,com.sachan.prateek.filemanager.MotionEvent]",false,32,4,1,0,1,4,6,7,1,1,2,6,0,0,0,2,0,0,0,0,1,0,1,0,0,0,12,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Listener_for_Recycler.java,com.sachan.prateek.filemanager.Listener_for_Recycler,onRequestDisallowInterceptTouchEvent/1[boolean],false,46,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Data_Manager.java,com.sachan.prateek.filemanager.Data_Manager$Anonymous5,"compare/2[java.io.File,java.io.File]",false,153,0,0,0,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Data_Manager.java,com.sachan.prateek.filemanager.Data_Manager$Anonymous6,"compare/2[java.io.File,java.io.File]",false,162,0,0,0,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Data_Manager.java,com.sachan.prateek.filemanager.Data_Manager$Anonymous3,"compare/2[java.io.File,java.io.File]",false,135,0,0,0,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Data_Manager.java,com.sachan.prateek.filemanager.Data_Manager$Anonymous4,"compare/2[java.io.File,java.io.File]",false,144,0,0,0,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr1_Android_FileManager/src-git/File-Manager-for-android-master/app/src/main/java/com/sachan/prateek/filemanager/Data_Manager.java,com.sachan.prateek.filemanager.Data_Manager$Anonymous1,"compare/2[java.io.File,java.io.File]",false,117,0,0,0,0,1,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
