file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/ui/LineColorPicker.java,dev.dworks.apps.anexplorer.ui.LineColorPicker$SavedState,innerclass,3,3,0,3,5,2,0,3,1,0.4166667,0.0,0.0,3,0,1,1,0,1,2,0,0,0,4,1,1,0,0,3,1,0,0,29,0,0,1,0,0,0,3,4,0,4,0,1,0,0,21,8,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,class,10,13,3,10,20,4,0,16,0,0.6666667,0.0,0.0,9,2,9,0,0,0,10,0,0,0,10,9,3,7,0,0,9,0,0,166,10,0,1,0,0,14,4,21,7,17,1,0,3,0,59,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/directory/GridDocumentHolder.java,dev.dworks.apps.anexplorer.directory.GridDocumentHolder,class,5,6,1,5,1,6,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/setting/GeneralPreferenceFragment.java,dev.dworks.apps.anexplorer.setting.GeneralPreferenceFragment,class,5,5,0,5,3,2,0,6,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/AppsProvider.java,dev.dworks.apps.anexplorer.provider.AppsProvider$DocumentCursor,innerclass,2,2,0,2,2,3,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14,2,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/misc/ProviderExecutor.java,dev.dworks.apps.anexplorer.misc.ProviderExecutor$Anonymous1,anonymous,1,1,0,1,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/fragment/DirectoryFragment.java,dev.dworks.apps.anexplorer.fragment.DirectoryFragment$OperationTask,innerclass,8,8,0,8,28,2,0,23,0,0.25,0.0,0.0,4,0,1,0,3,0,4,0,0,0,3,0,0,3,0,0,0,0,0,112,2,0,3,0,4,10,3,13,0,6,2,1,0,0,57,2,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/model/RootInfo.java,dev.dworks.apps.anexplorer.model.RootInfo,class,13,25,12,13,143,1,0,65,697,0.8975609,0.0,0.0,82,13,82,0,0,0,82,0,0,0,20,3,18,2,0,0,3,0,26,518,84,1,22,0,15,56,27,117,3,23,3,1,0,0,175,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/StorageProvider.java,dev.dworks.apps.anexplorer.provider.StorageProvider$ImageThumbnailQuery,interface,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,1,2,0,2,0,0,0,0,15,4,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/DocumentsApplication.java,dev.dworks.apps.anexplorer.DocumentsApplication$Anonymous1,anonymous,3,3,0,3,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,2,0,2,1,0,0,0,9,-1,0
