file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/ui/LineColorPicker.java,dev.dworks.apps.anexplorer.ui.LineColorPicker$SavedState,SavedState/1[dev.dworks.apps.anexplorer.ui.Parcel],true,314,1,0,0,0,2,1,6,0,0,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,4,2,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/ui/LineColorPicker.java,dev.dworks.apps.anexplorer.ui.LineColorPicker$SavedState,"writeToParcel/2[dev.dworks.apps.anexplorer.ui.Parcel,int]",false,322,1,0,0,0,2,2,6,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/ui/LineColorPicker.java,dev.dworks.apps.anexplorer.ui.LineColorPicker$SavedState,SavedState/1[dev.dworks.apps.anexplorer.ui.Parcelable],true,310,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,buildConnection/0,false,68,1,4,4,0,1,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,ExplorerProvider/0,true,162,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,"delete/3[dev.dworks.apps.anexplorer.provider.Uri,java.lang.String,java.lang.String[]]",false,223,3,0,0,0,6,7,27,1,4,3,7,0,0,0,1,0,0,3,0,8,3,1,0,0,0,20,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,buildBookmark/0,false,63,1,1,1,0,1,4,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,getType/1[dev.dworks.apps.anexplorer.provider.Uri],false,188,1,0,0,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,(initializer 1),false,32,0,4,0,4,1,1,6,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr3_Android_AnExplorer/src-git/AnExplorer-master/app/src/main/java/dev/dworks/apps/anexplorer/provider/ExplorerProvider.java,dev.dworks.apps.anexplorer.provider.ExplorerProvider,onCreate/0,false,166,1,1,0,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,false
