file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/UpdateFileNamesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.UpdateFileNamesEventHandler,class,5,7,2,5,9,1,0,17,3,0.6111111,0.0,0.0,6,0,4,2,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,36,2,1,0,0,0,1,0,8,0,6,3,0,0,0,25,1,1
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/FileRenamerApplication.java,de.perdian.apps.filerenamer.fx.FileRenamerApplication,class,7,9,2,7,1,2,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,16,0,0,0,0,0,3,6,2,1,3,0,0,0,1,17,1,1
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,class,8,12,4,8,14,1,0,10,43,0.79545456,0.0,0.0,11,0,7,4,0,0,7,0,0,0,4,0,0,4,0,0,0,0,0,63,7,0,0,1,1,2,0,11,0,7,2,0,0,0,41,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/FileRenamerPane.java,de.perdian.apps.filerenamer.fx.FileRenamerPane,class,11,12,1,11,1,2,0,23,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,5,39,11,0,11,0,0,0,0,26,0,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/SortFilesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.SortFilesEventHandler,class,4,6,2,4,6,1,0,10,3,0.5,0.0,0.0,6,0,2,4,0,0,2,0,0,0,2,0,0,2,0,0,0,0,3,28,3,0,0,0,0,2,1,6,1,6,1,0,0,1,18,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/FileWrapper.java,de.perdian.apps.filerenamer.fx.FileWrapper,class,5,9,4,5,13,1,0,10,48,0.7916666,0.0,0.0,12,0,8,4,0,0,8,0,0,0,4,0,0,4,0,0,0,0,0,51,7,0,2,0,2,0,0,8,0,4,1,0,0,0,23,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/FileNameComputerImpl.java,de.perdian.apps.filerenamer.core.FileNameComputerImpl$ExpressionRoot,innerclass,8,8,0,8,34,1,0,41,186,0.8412699,0.0,0.0,21,0,13,7,0,1,14,0,0,0,3,0,0,3,0,0,0,0,7,113,22,1,8,1,0,9,5,15,2,13,2,0,0,1,54,0,1
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/FileRenamerLauncher.java,de.perdian.apps.filerenamer.fx.FileRenamerLauncher,class,3,4,1,3,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,7,1,1
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/SourceExpression.java,de.perdian.apps.filerenamer.core.types.SourceExpression,class,3,7,4,3,14,1,0,10,43,0.79545456,0.0,0.0,11,0,7,4,0,0,7,0,0,0,4,0,0,4,0,0,0,0,1,66,7,0,0,1,1,0,0,10,0,6,2,0,0,0,42,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/FileNameComputerImpl.java,de.perdian.apps.filerenamer.core.FileNameComputerImpl,class,8,11,3,8,12,1,0,10,33,0.82,0.0,0.0,10,0,1,0,0,9,10,0,0,0,5,1,0,4,0,1,1,0,0,162,7,0,1,1,0,0,0,11,0,7,2,0,1,0,27,0,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/FileRenamerModel.java,de.perdian.apps.filerenamer.fx.FileRenamerModel,class,13,15,2,13,24,1,0,41,147,0.8815789,0.0,0.0,19,0,7,8,0,4,11,0,0,1,8,0,0,8,0,0,0,0,1,115,8,2,0,2,0,1,2,29,1,28,4,0,0,7,44,0,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/FileNameComputerHelper.java,de.perdian.apps.filerenamer.core.FileNameComputerHelper,class,4,8,4,4,7,1,0,13,4,0.625,0.0,0.0,4,0,0,2,0,2,2,0,0,0,2,1,0,2,0,0,1,0,1,47,2,0,1,1,0,1,0,6,1,4,2,0,1,0,23,0,1
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/FileNameComputerFactory.java,de.perdian.apps.filerenamer.core.FileNameComputerFactory,class,6,8,2,6,7,1,0,6,1,0.33333334,0.0,0.0,3,0,1,0,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,21,3,0,2,0,0,0,0,3,0,3,1,0,0,1,19,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/FileNameComputer.java,de.perdian.apps.filerenamer.core.FileNameComputer,interface,0,3,3,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/panels/ExpressionsPane.java,de.perdian.apps.filerenamer.fx.panels.ExpressionsPane,class,7,8,1,7,5,2,0,16,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,22,32,6,0,18,2,0,0,4,22,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/panels/FileWrappersPane.java,de.perdian.apps.filerenamer.fx.panels.FileWrappersPane,class,16,18,2,16,9,2,0,45,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,72,0,1,3,0,0,9,7,10,0,16,5,0,0,6,43,1,1
