file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/UpdateFileNamesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.UpdateFileNamesEventHandler,setSuccessCallback/1[java.lang.Runnable],false,53,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/UpdateFileNamesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.UpdateFileNamesEventHandler,handle/1[de.perdian.apps.filerenamer.fx.actions.ActionEvent],false,27,3,5,0,5,4,14,15,0,3,1,14,2,1,1,0,0,0,1,0,3,0,3,0,0,0,12,1,1,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/UpdateFileNamesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.UpdateFileNamesEventHandler,getFileWrappers/0,false,43,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/UpdateFileNamesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.UpdateFileNamesEventHandler,"UpdateFileNamesEventHandler/2[java.util.List<de.perdian.apps.filerenamer.fx.FileWrapper>,java.lang.Runnable]",true,21,2,3,1,2,1,2,4,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/UpdateFileNamesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.UpdateFileNamesEventHandler,setFileWrappers/1[java.util.List<de.perdian.apps.filerenamer.fx.FileWrapper>],false,46,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/actions/UpdateFileNamesEventHandler.java,de.perdian.apps.filerenamer.fx.actions.UpdateFileNamesEventHandler,getSuccessCallback/0,false,50,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/fx/FileRenamerApplication.java,de.perdian.apps.filerenamer.fx.FileRenamerApplication,start/1[de.perdian.apps.filerenamer.fx.Stage],false,17,4,1,0,1,1,19,13,0,2,1,19,0,0,0,0,0,0,3,6,1,1,0,0,0,1,14,1,1,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,getParseException/0,false,82,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,setParseException/1[de.perdian.apps.filerenamer.core.types.ParseException],false,85,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,isValid/0,false,68,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,hashCode/0,false,55,2,1,0,1,1,3,5,1,1,0,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,setExpression/1[de.perdian.apps.filerenamer.core.types.Expression],false,78,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,setValue/1[java.lang.String],false,64,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,getExpression/0,false,75,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr4_JavaSE_FileRenamer/src-git/filerenamer-master/src/main/java/de/perdian/apps/filerenamer/core/types/TargetExpression.java,de.perdian.apps.filerenamer.core.types.TargetExpression,setValid/1[boolean],false,71,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,false
