file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodExpectations.java,com.github.mauricioaniche.codesheriff.dsl.MethodExpectations,linesOfCode/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,25,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodExpectations.java,com.github.mauricioaniche.codesheriff.dsl.MethodExpectations,MethodExpectations/1[com.github.mauricioaniche.codesheriff.dsl.CodeSheriff],true,11,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodExpectations.java,com.github.mauricioaniche.codesheriff.dsl.MethodExpectations,coupling/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,20,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodExpectations.java,com.github.mauricioaniche.codesheriff.dsl.MethodExpectations,numberOfDeclaredVariables/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,30,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodExpectations.java,com.github.mauricioaniche.codesheriff.dsl.MethodExpectations,complexity/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,15,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassNameStartsWith.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassNameStartsWith,ClassNameStartsWith/1[java.lang.String],true,9,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassNameStartsWith.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassNameStartsWith,accept/1[com.github.mauricioaniche.codesheriff.filters.clazz.CKClassResult],false,14,2,1,0,1,1,3,4,1,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/method/MethodNameStartsWith.java,com.github.mauricioaniche.codesheriff.filters.method.MethodNameStartsWith,MethodNameStartsWith/1[java.lang.String],true,9,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/method/MethodNameStartsWith.java,com.github.mauricioaniche.codesheriff.filters.method.MethodNameStartsWith,"accept/2[com.github.mauricioaniche.codesheriff.filters.method.CKMethodResult,com.github.mauricioaniche.codesheriff.filters.method.CKClassResult]",false,14,2,0,0,0,1,2,3,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/method/MethodFilter.java,com.github.mauricioaniche.codesheriff.filters.method.MethodFilter,"accept/2[com.github.mauricioaniche.codesheriff.filters.method.CKMethodResult,com.github.mauricioaniche.codesheriff.filters.method.CKClassResult]",false,7,2,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodLOC.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodLOC,MethodLOC/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],true,9,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodLOC.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodLOC,message/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodLOC.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodLOC,"value/2[com.github.mauricioaniche.codesheriff.expectations.method.CKMethodResult,com.github.mauricioaniche.codesheriff.expectations.method.CKClassResult]",false,14,2,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/DefaultClassExpectation.java,com.github.mauricioaniche.codesheriff.expectations.clazz.DefaultClassExpectation,DefaultClassExpectation/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],true,10,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/DefaultClassExpectation.java,com.github.mauricioaniche.codesheriff.expectations.clazz.DefaultClassExpectation,value/1[com.github.mauricioaniche.codesheriff.expectations.clazz.CKClassResult],false,26,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1028,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/DefaultClassExpectation.java,com.github.mauricioaniche.codesheriff.expectations.clazz.DefaultClassExpectation,"match/2[com.github.mauricioaniche.codesheriff.expectations.clazz.CKClassResult,com.github.mauricioaniche.codesheriff.runner.SheriffReport]",false,15,4,4,0,4,2,6,7,0,2,2,6,2,1,0,0,0,0,0,0,2,0,1,0,0,0,11,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/DefaultClassExpectation.java,com.github.mauricioaniche.codesheriff.expectations.clazz.DefaultClassExpectation,message/0,false,27,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1028,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/runner/SheriffReport.java,com.github.mauricioaniche.codesheriff.runner.SheriffReport,containsViolations/0,false,18,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/runner/SheriffReport.java,com.github.mauricioaniche.codesheriff.runner.SheriffReport,getViolations/0,false,14,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/runner/SheriffReport.java,com.github.mauricioaniche.codesheriff.runner.SheriffReport,getViolationsAsString/0,false,22,0,1,1,0,1,2,3,1,2,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,11,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/runner/SheriffReport.java,com.github.mauricioaniche.codesheriff.runner.SheriffReport,expectationViolated/1[java.lang.String],false,10,0,2,2,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassFilter.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassFilter,accept/1[com.github.mauricioaniche.codesheriff.filters.clazz.CKClassResult],false,6,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassExpectations.java,com.github.mauricioaniche.codesheriff.dsl.ClassExpectations,numberOfInnerClasses/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,27,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassExpectations.java,com.github.mauricioaniche.codesheriff.dsl.ClassExpectations,linesOfCode/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,32,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassExpectations.java,com.github.mauricioaniche.codesheriff.dsl.ClassExpectations,coupling/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,17,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassExpectations.java,com.github.mauricioaniche.codesheriff.dsl.ClassExpectations,complexity/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,12,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassExpectations.java,com.github.mauricioaniche.codesheriff.dsl.ClassExpectations,ClassExpectations/1[com.github.mauricioaniche.codesheriff.dsl.CodeSheriff],true,8,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassExpectations.java,com.github.mauricioaniche.codesheriff.dsl.ClassExpectations,numberOfMethods/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],false,22,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassLOC.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassLOC,ClassLOC/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],true,8,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassLOC.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassLOC,message/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassLOC.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassLOC,value/1[com.github.mauricioaniche.codesheriff.expectations.clazz.CKClassResult],false,13,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassInPackage.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassInPackage,accept/1[com.github.mauricioaniche.codesheriff.filters.clazz.CKClassResult],false,14,2,1,0,1,1,3,4,1,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/ClassInPackage.java,com.github.mauricioaniche.codesheriff.filters.clazz.ClassInPackage,ClassInPackage/1[java.lang.String],true,9,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodFilters.java,com.github.mauricioaniche.codesheriff.dsl.MethodFilters,withExceptionOfMethod/1[java.lang.String],false,26,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodFilters.java,com.github.mauricioaniche.codesheriff.dsl.MethodFilters,withNamesStartingWith/1[java.lang.String],false,21,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodFilters.java,com.github.mauricioaniche.codesheriff.dsl.MethodFilters,inClassesOfPackage/1[java.lang.String],false,16,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodFilters.java,com.github.mauricioaniche.codesheriff.dsl.MethodFilters,MethodFilters/1[com.github.mauricioaniche.codesheriff.dsl.CodeSheriff],true,12,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/MethodFilters.java,com.github.mauricioaniche.codesheriff.dsl.MethodFilters,have/0,false,31,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/IgnoreClass.java,com.github.mauricioaniche.codesheriff.filters.clazz.IgnoreClass,IgnoreClass/1[java.lang.String],true,11,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/clazz/IgnoreClass.java,com.github.mauricioaniche.codesheriff.filters.clazz.IgnoreClass,accept/1[com.github.mauricioaniche.codesheriff.filters.clazz.CKClassResult],false,16,2,1,0,1,1,3,4,1,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassNumberOfMethods.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassNumberOfMethods,message/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassNumberOfMethods.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassNumberOfMethods,value/1[com.github.mauricioaniche.codesheriff.expectations.clazz.CKClassResult],false,13,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassNumberOfMethods.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassNumberOfMethods,ClassNumberOfMethods/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],true,8,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodComplexity.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodComplexity,message/0,false,19,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodComplexity.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodComplexity,"value/2[com.github.mauricioaniche.codesheriff.expectations.method.CKMethodResult,com.github.mauricioaniche.codesheriff.expectations.method.CKClassResult]",false,14,2,0,0,0,1,1,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodComplexity.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodComplexity,MethodComplexity/1[com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator],true,9,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassFilters.java,com.github.mauricioaniche.codesheriff.dsl.ClassFilters,withExceptionOfClass/1[java.lang.String],false,30,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassFilters.java,com.github.mauricioaniche.codesheriff.dsl.ClassFilters,withNamesStartingWith/1[java.lang.String],false,21,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassFilters.java,com.github.mauricioaniche.codesheriff.dsl.ClassFilters,ClassFilters/1[com.github.mauricioaniche.codesheriff.dsl.CodeSheriff],true,12,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassFilters.java,com.github.mauricioaniche.codesheriff.dsl.ClassFilters,inPackage/1[java.lang.String],false,16,3,2,0,2,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ClassFilters.java,com.github.mauricioaniche.codesheriff.dsl.ClassFilters,have/0,false,26,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassNumberOfInnerClasses.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassNumberOfInnerClasses,message/0,false,18,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassNumberOfInnerClasses.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassNumberOfInnerClasses,value/1[com.github.mauricioaniche.codesheriff.expectations.clazz.CKClassResult],false,13,1,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
