file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Builder,innerclass,4,4,0,4,7,2,0,4,7,0.6666667,0.0,0.0,6,0,5,0,1,0,6,0,0,0,4,0,0,4,0,0,0,0,1,27,5,0,1,0,0,1,1,5,0,4,0,0,0,0,56,9,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$CSVRecordIterator,innerclass,3,3,0,3,10,1,0,3,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,32,4,0,4,0,0,2,0,4,0,2,2,0,0,0,36,16,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/Token.java,org.apache.commons.csv.Token,class,1,3,2,1,2,1,0,3,0,0.4,0.0,0.0,2,0,1,0,0,1,2,0,0,0,5,1,0,1,0,4,2,0,0,22,1,0,0,0,0,2,2,6,1,5,0,0,1,0,70,16,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/Constants.java,org.apache.commons.csv.Constants,class,0,0,0,0,1,1,0,1,0,1.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,21,21,0,0,0,21,21,0,1,25,0,0,0,0,0,7,3,21,0,21,0,0,0,0,48,16,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVRecord.java,org.apache.commons.csv.CSVRecord,class,3,6,3,3,38,1,0,22,97,0.8385094,0.0,0.0,23,0,21,1,0,1,22,0,0,0,7,1,0,7,0,0,7,0,6,107,23,0,10,1,0,7,2,11,1,13,2,0,0,1,224,17,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/QuoteMode.java,org.apache.commons.csv.QuoteMode,enum,0,2,2,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/DuplicateHeaderMode.java,org.apache.commons.csv.DuplicateHeaderMode,enum,0,3,3,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVException.java,org.apache.commons.csv.CSVException,class,0,2,2,0,1,4,0,1,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,32,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVFormat.java,org.apache.commons.csv.CSVFormat$Builder,innerclass,4,4,0,4,46,1,0,24,508,0.90740746,0.0,0.0,36,2,34,2,0,0,34,0,0,0,21,0,0,21,0,0,0,0,15,206,34,1,3,0,0,6,2,52,2,27,2,0,0,1,221,9,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVFormat.java,org.apache.commons.csv.CSVFormat,class,12,19,7,12,251,1,0,123,4812,0.9554623,0.0,0.0,105,13,76,20,0,9,85,0,0,4,34,13,12,22,0,0,34,0,40,965,104,12,70,2,5,31,31,123,21,98,5,0,2,2,574,17,0
