file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Builder,setRecordNumber/1[long],false,201,1,0,0,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,true
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Builder,Builder/0,true,163,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,true
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Builder,setCharacterOffset/1[long],false,179,1,0,0,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1,0,true
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Builder,get/0,false,169,1,1,0,1,2,2,3,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,11,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Builder,setTrackBytes/1[boolean],false,213,1,0,0,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,1,0,true
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$Builder,setFormat/1[org.apache.commons.csv.CSVFormat],false,190,2,1,0,1,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,true
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$CSVRecordIterator,next/0,false,247,3,2,0,2,4,2,14,1,1,0,2,1,1,0,2,0,0,2,0,3,0,2,0,0,0,19,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$CSVRecordIterator,hasNext/0,false,235,2,2,0,2,4,2,9,2,0,0,2,1,1,0,2,0,0,0,0,1,0,1,0,0,0,9,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$CSVRecordIterator,remove/0,false,266,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr6_javaSE_lib_apacheCommonCSV/src-git/commons-csv-master/src/main/java/org/apache/commons/csv/CSVParser.java,org.apache.commons.csv.CSVParser$CSVRecordIterator,getNextRecord/0,false,230,1,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,true
